callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
CPA2533 A330 CAT_B 1 774.81 399.24324 0.0 H
EVA6535 B777 CAT_B 44 107.966 159.0822 0.251 H
AHK209 A306 CAT_C 1 1410.948 441.21096 216.998 H
AHK205 A306 CAT_C 14 1958.485 417.92004 270.112 H
AHK783 A330 CAT_B 44 308.405 248.73048 368.162 H
CPA2503 B777 CAT_B 44 397.941 236.64564 487.522 H
SIA7868 B747 CAT_B 44 349.013 210.27816 630.044 H
AHK129 A306 CAT_C 14 1991.947 410.00976 1096.107 H
AHK316 A330 CAT_B 25 2404.087 498.99888 1125.481 H
KAL313 B747 CAT_B 14 2059.64 417.70008 1166.754 H
SIA868 B777 CAT_B 25 2402.037 524.9268 1547.574 H
KAL2995 A330 CAT_B 14 2136.547 410.22936 1657.237 H
AHK562 A330 CAT_B 30 1866.557 513.28116 1800.115 H
AHK842 A306 CAT_C 33 1451.627 529.9804800000001 1888.519 H
UAE9840 B777 CAT_B 44 480.124 355.9572 1958.237 H
ABW539 B748 CAT_B 44 406.434 361.01088 2328.552 H
CPA3387 B777 CAT_B 1 1598.873 392.87124 2583.152 H
CRK623 A320 CAT_D 14 2077.219 401.66028 3360.358 M
HKC318 A330 CAT_B 44 615.914 340.3566 3443.515 H
CRK637 A330 CAT_B 14 2183.513 397.26576 4937.254 H
CKS247 B747 CAT_B 44 433.242 376.17192 6098.564 H
BOX514 B777 CAT_B 44 330.473 413.08596 6667.617 H
ETD9843 B777 CAT_B 44 427.225 387.5976 7536.097 H
CPA138 B777 CAT_B 23 1897.006 491.08896 8449.51 H
HKE764 A320 CAT_D 33 1335.709 509.76576 9103.273 M
CAL5835 B747 CAT_B 14 2137.355 415.503 9788.563 H
CKK263 B777 CAT_B 2 2045.557 437.03604 10505.111 H
CPA714 B777 CAT_B 25 1949.528 514.59948 10767.601 H
TAY051 B747 CAT_B 44 468.53 391.11336 10878.452 H
CPA746 A330 CAT_B 44 358.956 396.8262 11247.982 H
ANA821 B788 CAT_B 14 2067.724 432.42192 11716.516 H
CPA3261 B747 CAT_B 44 428.249 403.63776 12682.082 H
HKE865 A320 CAT_D 14 2116.982 394.18956 13010.882 M
HDA251 A320 CAT_D 33 1175.299 519.87312 13332.765 M
HKE3157 A320 CAT_D 14 2098.846 409.79016 13781.249 M
GIA876 B737 CAT_D 25 2230.199 479.88288 13971.566 M
CPA899 A359 CAT_B 44 544.201 383.42268 14665.028 H
UAE386 B777 CAT_B 44 552.258 398.36412 14891.871 H
CPA796 A330 CAT_B 25 2116.26 491.08896 15027.468 H
CPA873 B777 CAT_B 14 2061.944 425.39076 15196.056 H
CPA883 B777 CAT_B 14 2083.547 422.53416 15648.177 H
HDA103 A330 CAT_B 33 1533.886 518.33484 15856.566 H
CKS2542 B747 CAT_B 44 465.132 324.31644 16067.271 H
CPA794 A359 CAT_B 30 1969.674 531.2987999999999 16359.839 H
CPA811 B777 CAT_B 44 454.828 407.59272 16406.627 H
CRK708 A330 CAT_B 23 2031.133 475.70796 16598.89 H
CPA676 A359 CAT_B 44 364.674 420.77628 17186.963 H
SEJ031 B737 CAT_D 44 506.752 367.16292 17418.733 M
CPA382 B777 CAT_B 44 485.496 375.2928 17699.92 H
HDA111 A330 CAT_B 33 1227.835 516.13776 17742.965 H
CPA156 A359 CAT_B 17 1974.932 465.16104 17752.132 H
ANA8423 B763 CAT_C 14 2052.873 415.503 18013.565 H
HDA169 A320 CAT_D 33 1329.271 516.79692 18046.286 M
CPA748 B777 CAT_B 33 1645.734 536.35248 18580.292 H
CPA861 A359 CAT_B 44 533.058 387.5976 18594.752 H
CRK762 A359 CAT_B 33 1687.593 539.20908 18641.886 H
CPA178 B777 CAT_B 23 2211.14 487.5732 18648.992 H
HDA997 A320 CAT_D 44 588.291 370.23912 18689.539 M
HKC320 A330 CAT_B 25 2357.434 502.07508 18961.626 H
CPA698 B777 CAT_B 33 1623.664 547.3389599999999 19147.507 H
CPA032 B747 CAT_B 44 591.337 391.11336 19214.904 H
CPA354 A359 CAT_B 44 658.375 383.20308 19287.431 H
CPA288 B777 CAT_B 44 994.165 338.81832 19466.826 H
CPA696 B777 CAT_B 44 972.256 350.0244 19577.876 H
CRK028 A330 CAT_B 17 2177.925 453.73536 19727.829 H
CPA270 A359 CAT_B 44 884.082 303.88176 19755.812 H
CPA893 A359 CAT_B 14 2019.254 426.70908 19775.685 H
CPA216 A359 CAT_B 44 919.997 318.16404 20182.696 H
CPA292 A359 CAT_B 44 888.978 350.244 20313.7 H
CPA865 B777 CAT_B 14 2034.36 426.04992 20370.659 H
CPA260 B777 CAT_B 44 958.91 298.16892 20496.96 H
AAL193 B777 CAT_B 14 2039.397 426.04992 20690.658 H
CPA318 A359 CAT_B 44 729.965 368.26164 20839.463 H
CPA881 B777 CAT_B 14 1961.479 414.62388 21016.442 H
CRK780 A330 CAT_B 33 1361.256 514.81944 21204.127 H
CPA463 A330 CAT_B 14 1995.961 395.50788 21334.261 H
IGO1773 A320 CAT_D 44 598.584 347.60736 21407.099 M
HKE615 A320 CAT_D 14 2063.837 399.46284 21448.11 M
CRK539 A320 CAT_D 30 1919.033 497.90052 21811.399 M
CPA234 B777 CAT_B 44 258.82 397.26576 21926.057 H
CPA3253 B747 CAT_B 2 1950.556 434.619 23486.702 H
QTR8404 B777 CAT_B 44 408.098 377.49024 23701.511 H
CEB150 A320 CAT_D 17 1874.944 435.71772 24001.252 M
CEB272 A320 CAT_D 17 1957.503 427.58784 24149.33 M
CPA252 B777 CAT_B 44 386.891 379.90728 24304.538 H
CPA610 A330 CAT_B 33 1313.534 519.6531600000001 24425.221 H
FIN101 A359 CAT_B 44 353.698 388.03716 24906.255 H
CEB240 A320 CAT_D 17 1965.227 434.83896 24966.673 M
CPA170 A359 CAT_B 23 1933.721 495.48347999999993 25122.684 H
HKC830 A330 CAT_B 1 1669.139 404.07732 25155.869 H
CPA465 A330 CAT_B 14 2001.195 397.26576 25381.914 H
AIC314 B788 CAT_B 44 620.695 379.24812 25570.263 H
EVA891 B789 CAT_B 14 1910.461 428.90616 25696.659 H
MDA1819 E190 CAT_E 14 2065.45 403.85736 25770.982 M
CPA932 A359 CAT_B 17 1789.003 463.40316 25881.24 H
HDA617 A320 CAT_D 1 1368.236 411.54768 25917.475 M
AAR952 B747 CAT_B 44 464.298 376.61148 25982.095 H
ETD834 A330 CAT_B 44 410.769 384.96096 26165.899 H
CAL933 A330 CAT_B 14 1959.152 425.82996 26844.02 H
HDA451 A330 CAT_B 14 1997.667 408.69144 27045.504 H
CRK782 A330 CAT_B 17 1948.472 443.8476 27335.3 H
CAL601 B737 CAT_D 14 2092.663 395.50788 27340.237 M
CPA726 A330 CAT_B 30 2090.197 495.04392 27548.542 H
CPA632 B777 CAT_B 33 1216.591 548.43768 27667.314 H
AXM237 A320 CAT_D 23 2114.66 459.00864 28050.404 M
CRK6123 A330 CAT_B 14 2281.613 402.75864 28105.144 H
SOO7923 B777 CAT_B 44 390.094 408.25188 28173.53 H
AIQ515 A320 CAT_D 33 1291.512 512.622 28577.699 M
CRK647 A320 CAT_D 14 1943.823 412.6464 28961.096 M
HDA857 A330 CAT_B 2 2037.345 387.5976 29004.857 H
