callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
JJA2185 B737 CAT_D 1 1279.141 304.32132 0.0 M
AHK842 A306 CAT_C 44 4.743 135.35172 0.084 H
SIA7872 B747 CAT_B 23 1560.916 511.74324 0.209 H
KAL313 B777 CAT_B 1 1429.668 315.5274 0.227 H
AHK217 A306 CAT_C 44 94.032 164.57508 0.248 H
JJA2107 B737 CAT_D 1 1127.156 245.87388 0.26 M
AHK456 A306 CAT_C 44 312.013 212.91516 1.18 H
CPA2081 B748 CAT_B 14 2143.552 424.07244 60.973 H
AHK783 A330 CAT_B 2 2127.606 403.1982 461.172 H
AHK326 A330 CAT_B 44 262.573 250.2684 501.57 H
HKE627 A320 CAT_D 14 2264.487 388.25676 514.162 M
AHK769 A306 CAT_C 44 26.201 202.58784 547.032 H
NCA203 B748 CAT_B 44 360.255 205.44444 682.52 H
CKS247 B747 CAT_B 44 360.824 226.97748 927.358 H
HDA975 A320 CAT_D 44 622.56 362.98836 2320.145 M
CRK637 A330 CAT_B 14 2098.353 406.71396 3898.357 H
BOX506 B777 CAT_B 44 374.777 387.15804 4832.866 H
CAL5835 B747 CAT_B 14 2069.826 413.96472 5784.781 H
ABW139 B748 CAT_B 14 2264.723 418.35924 6941.189 H
CPA138 B777 CAT_B 23 2135.124 489.77064000000007 7597.969 H
HKC569 A330 CAT_B 14 2199.049 405.17568 7950.119 H
HKE764 A320 CAT_D 33 1321.894 539.86824 9287.406 M
UAE9820 B777 CAT_B 23 1950.854 507.56832 9401.558 H
QTR8404 B777 CAT_B 44 461.678 410.88852 9445.959 H
CKK263 B777 CAT_B 2 2260.126 408.69144 9673.5 H
CPA3128 B748 CAT_B 23 2012.77 497.24136 9733.293 H
TAY051 B747 CAT_B 44 649.4 337.2804 10120.415 H
HKC9004 A330 CAT_B 1 1553.037 365.625 10872.473 H
CPA714 B777 CAT_B 25 2100.889 521.8506 10948.646 H
CPA746 A330 CAT_B 44 410.798 407.15316 11156.141 H
ANA821 B767 CAT_C 14 2098.83 414.18468 11310.255 H
GIA876 B737 CAT_D 25 1975.57 504.71208 13110.891 M
UAE386 B777 CAT_B 44 606.414 342.77328 14634.356 H
CPA899 A359 CAT_B 44 563.092 382.54392 15491.077 H
CPA796 A330 CAT_B 25 2041.821 497.0214 15540.312 H
PAC769 B747 CAT_B 14 2107.458 436.15728 16000.545 H
CPA873 B777 CAT_B 14 2081.216 415.94256 16418.475 H
SEJ031 B737 CAT_D 44 425.88 376.17192 16978.022 M
CPA845 B777 CAT_B 44 515.062 377.27064 17262.814 H
CPA382 B777 CAT_B 44 460.785 377.49024 17452.717 H
ANA8423 B763 CAT_C 14 2250.655 412.4268 17549.576 H
AIC314 B788 CAT_B 44 688.179 362.10924 17566.131 H
HDA111 A330 CAT_B 33 1225.292 545.36148 17655.674 H
CRK708 A330 CAT_B 23 2405.397 497.90052 17693.433 H
HDA358 A320 CAT_D 25 3048.523 493.28604 18002.257 M
CPA178 B777 CAT_B 23 2746.796 491.52816 18028.308 H
HDA251 A320 CAT_D 33 1224.848 540.96696 18227.086 M
CPA748 B777 CAT_B 33 1700.813 568.6524 18557.105 H
CRK762 A359 CAT_B 33 2374.34 571.5086399999999 18969.931 H
CPA270 A359 CAT_B 44 470.939 377.70984 19218.156 H
CPA288 B777 CAT_B 44 612.886 364.74624 19367.147 H
CPA156 A359 CAT_B 17 2232.027 456.59196 19461.222 H
IGO1773 A320 CAT_D 44 830.985 344.09196000000003 19577.184 M
CRK028 A330 CAT_B 23 2351.258 497.24136 19658.175 H
CPA306 A359 CAT_B 44 879.311 343.43244 19665.108 H
CPA292 A359 CAT_B 44 897.952 298.82808 19765.135 H
CPA055 B748 CAT_B 2 2723.462 415.7226 19855.718 H
CPA252 B777 CAT_B 44 895.856 373.75488 20008.919 H
CPA794 A359 CAT_B 30 2701.203 519.2139599999999 20019.883 H
CPA216 A359 CAT_B 44 821.364 352.44144 20362.658 H
CPA698 B777 CAT_B 33 1754.561 572.1678 20403.169 H
CPA676 A359 CAT_B 44 990.182 360.35172 20493.36 H
CPA260 B777 CAT_B 44 933.595 300.36636 20660.011 H
CPA893 A359 CAT_B 14 2754.34 423.85248 20926.549 H
CRK780 A330 CAT_B 33 2415.907 539.42868 20948.408 H
CPA3263 B747 CAT_B 44 762.276 321.02064 21092.088 H
CPA881 B777 CAT_B 14 2708.392 420.55668 21249.231 H
CPA234 B777 CAT_B 44 1009.716 328.93056 21250.884 H
CPA865 B777 CAT_B 14 2928.6 414.62388 21289.753 H
CPA354 A359 CAT_B 44 1080.347 336.62124 21320.431 H
CPA463 A330 CAT_B 14 2565.626 406.71396 21761.21 H
CPA829 B777 CAT_B 44 1307.201 393.9696 21762.905 H
CPA318 A359 CAT_B 44 1752.367 290.25864 22082.573 H
HDA997 A320 CAT_D 44 1777.894 309.375 22289.794 M
HKC830 A330 CAT_B 1 1741.743 370.01952 22823.733 H
CRK539 A320 CAT_D 30 1841.178 511.52328 23155.609 M
AAL193 B777 CAT_B 44 1160.302 324.31644 23268.536 H
CEB272 A320 CAT_D 17 2021.071 402.9786 23540.604 M
CEB150 A320 CAT_D 17 1938.765 449.34084 23860.553 M
CPA465 A330 CAT_B 14 2202.593 406.494 24630.254 H
CPA932 A330 CAT_B 17 1862.185 465.381 24750.227 H
CPA170 A359 CAT_B 23 1984.514 522.7293599999999 25107.469 H
CEB240 A320 CAT_D 17 2470.801 447.80256 25211.374 M
KZR929 B757 CAT_C 44 616.565 350.90316 25272.323 H
CRK782 A330 CAT_B 17 1932.574 472.19256 26108.665 H
CPA811 B777 CAT_B 44 834.22 366.50376 26125.043 H
MDA1819 E190 CAT_E 14 2406.813 375.73236 26347.654 M
HDA617 A320 CAT_D 1 1498.906 388.47672 26369.397 M
UAE9882 B777 CAT_B 44 36.189 250.70796 26670.374 H
HDA451 A330 CAT_B 14 2355.296 402.09948 27107.641 H
ETD834 A330 CAT_B 44 101.308 309.81456 27172.159 H
SOO7923 B777 CAT_B 44 130.95 301.46472 27415.291 H
AIQ515 A320 CAT_D 33 1395.571 535.0341599999999 27435.334 M
CEB110 A330 CAT_B 17 1929.383 477.02628 27633.363 H
TGW978 A320 CAT_D 25 2059.929 487.13364 28183.598 M
CPA610 B777 CAT_B 33 1433.629 564.03792 28264.047 H
AXM237 A320 CAT_D 23 2032.107 460.54692 28418.529 M
CRK285 A330 CAT_B 14 2362.105 400.122 29110.185 H
CSZ9091 A320 CAT_D 1 1667.933 373.31532 29149.046 M
MDA981 E190 CAT_E 14 2524.756 363.42756 29175.411 M
PAL300 A330 CAT_B 17 2018.59 466.91892 29236.942 H
CRK176 A320 CAT_D 1 1721.768 377.70984 29237.628 M
HDA857 A320 CAT_D 2 2572.292 379.02816 29291.312 M
CAL903 B747 CAT_B 14 2577.629 415.94256 29399.908 H
CRK231 A359 CAT_B 2 2447.37 366.28416 30045.095 H
AIQ508 A320 CAT_D 33 1515.149 536.13288 30101.434 M
CPA912 A330 CAT_B 17 2108.816 468.01764 30546.397 H
CCA411 A320 CAT_D 44 462.298 358.59384 30609.166 M
HDA153 A330 CAT_B 33 1514.495 524.48724 30810.295 H
CRK647 A320 CAT_D 14 2329.547 404.07732 30972.85 M
EVA851 A320 CAT_D 14 2432.945 388.03716 30995.02 M
HDA623 A330 CAT_B 1 1910.832 349.36524000000003 31072.752 H
AFL212 B777 CAT_B 44 766.561 362.98836 31284.743 H
APG1264 A320 CAT_D 17 2174.538 424.9512 31477.783 M
CSN3075 B737 CAT_D 44 586.486 316.62612 31597.122 M
HKE625 A320 CAT_D 14 2315.532 392.21208 31666.49 M
CRK453 A320 CAT_D 44 640.616 332.88588 32100.421 M
CPA694 A330 CAT_B 33 1561.691 533.4962400000001 32181.066 H
CPA403 A330 CAT_B 14 2229.363 409.5702 32315.682 H
CES721 A330 CAT_B 1 1821.757 388.69632 32424.634 H
AXM138 A320 CAT_D 25 2199.731 494.16516 32513.113 M
CES765 A320 CAT_D 44 465.241 321.24024000000003 32657.91 M
HDA643 A320 CAT_D 1 1707.331 379.02816 32691.724 M
CPA650 A330 CAT_B 25 2280.775 507.78792 32742.166 H
CPA660 B777 CAT_B 44 696.15 330.46884 32844.738 H
CRK129 A320 CAT_D 1 1878.292 386.05968 32916.181 M
HDA391 A320 CAT_D 14 2359.498 381.88476 33086.769 M
CRK497 A320 CAT_D 44 561.918 272.90052000000003 33279.919 M
CRK221 A320 CAT_D 1 1936.222 384.0822 33311.275 M
CPA616 A330 CAT_B 33 2146.347 533.4962400000001 33399.362 H
SIA890 B777 CAT_B 25 2212.155 524.48724 33664.911 H
HDA863 A320 CAT_D 1 1901.601 364.96584 33763.74 M
CPA632 B777 CAT_B 33 2349.672 562.93956 33877.546 H
HDA871 A330 CAT_B 2 2582.244 365.625 33990.935 H
CRK305 A330 CAT_B 44 284.491 360.79092 34090.413 H
HDA825 A320 CAT_D 44 834.036 354.63852 34288.611 M
CES501 B777 CAT_B 2 2577.957 402.53904 34573.184 H
CES2901 A320 CAT_D 44 741.763 308.05668000000003 34609.293 M
CXA381 B737 CAT_D 1 2060.78 360.57132 34900.814 M
HKE227 A320 CAT_D 1 1899.424 397.0458 34901.549 M
CRK6355 A320 CAT_D 44 859.553 252.02628 35131.37 M
PAC983 B748 CAT_B 44 1033.142 356.3964 35316.627 H
CRK363 A330 CAT_B 44 740.425 350.46396 35604.511 H
CPA710 A330 CAT_B 25 2166.357 506.68956 35707.402 H
CPA738 A330 CAT_B 44 925.176 279.05256 35753.049 H
HDA453 A320 CAT_D 14 2108.913 398.36412 35873.82 M
PAL318 A320 CAT_D 17 2161.462 412.6464 35944.358 M
CLU684 B747 CAT_B 44 1099.33 318.6036 35952.069 H
CRK235 A330 CAT_B 2 2234.588 383.20308 36269.414 H
SIA860 A359 CAT_B 25 2321.245 536.57244 36314.333 H
HDA961 A320 CAT_D 44 672.109 401.87988 36592.846 M
TWB115 B737 CAT_D 14 2345.26 388.69632 36602.302 M
MKR977 A320 CAT_D 30 2228.143 472.63176 36824.197 M
KAL603 B777 CAT_B 14 2304.43 415.28304 37093.125 H
HDA937 A330 CAT_B 44 348.16 304.10172 37380.259 H
HKE193 A320 CAT_D 14 2264.311 387.81756 37383.985 M
THA600 B777 CAT_B 33 1275.918 602.70984 37455.484 H
CPA700 A359 CAT_B 33 1294.421 556.128 37537.087 H
CXA8015 B737 CAT_D 1 1902.531 379.68768 37613.592 M
HDA781 A330 CAT_B 44 516.421 293.7744 37878.692 H
AXM134 A320 CAT_D 33 1347.839 535.2537599999999 37942.62 M
CPA415 A330 CAT_B 14 2214.325 399.9024 38349.89 H
CCA765 B737 CAT_D 44 758.698 296.19144 38413.649 M
EVA867 A320 CAT_D 14 2183.987 387.81756 38741.076 M
HDA831 A320 CAT_D 2 2505.099 371.33784 38754.619 M
CAL672 B737 CAT_D 25 2322.249 496.14264 38825.586 M
HDA730 A330 CAT_B 25 2138.299 506.0304 39139.353 H
CAL909 A330 CAT_B 14 2363.508 411.76764 39214.779 H
HDA692 A330 CAT_B 30 2455.971 476.36712 39293.991 H
CCA101 A320 CAT_D 44 491.833 346.9482 39307.535 M
IGO1771 A320 CAT_D 44 573.935 361.01088 39418.825 M
CRK768 A330 CAT_B 33 1347.775 529.54092 39449.119 H
