callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
EVA6535 B777 CAT_B 44 235.317 240.381 0.0 H
AHK783 A330 CAT_B 1 1417.682 405.17568 0.356 H
HKE627 A320 CAT_D 14 2192.141 377.49024 47.807 M
NCA203 B748 CAT_B 44 342.619 277.07508 186.961 H
JJA2185 B737 CAT_D 1 1401.072 415.06344 199.954 M
AHK205 A306 CAT_C 14 2007.948 402.31944 435.003 H
AHK209 A306 CAT_C 44 328.419 234.2286 529.506 H
HKC318 A330 CAT_B 44 228.614 364.96584 673.961 H
AHK842 A306 CAT_C 33 1258.621 542.94444 1357.582 H
AHK316 A330 CAT_B 25 2037.317 512.84196 1977.352 H
KAL313 B748 CAT_B 14 2084.062 423.19332 2925.722 H
SIA7188 B747 CAT_B 17 1998.571 442.52928 3181.457 H
AHK129 A306 CAT_C 14 1996.949 394.62876 3485.265 H
CRK623 A320 CAT_D 14 2149.848 387.15804 4505.991 M
CAL5835 B747 CAT_B 14 2192.103 402.53904 5468.562 H
BOX514 B777 CAT_B 44 421.497 395.06832 5561.092 H
CRK637 A330 CAT_B 14 2101.724 390.8934 7383.211 H
CPA081 B748 CAT_B 44 423.537 374.19444 8118.135 H
CPA138 B777 CAT_B 23 1964.088 467.57808 8364.635 H
HKE764 A320 CAT_D 33 1713.041 525.80556 9210.895 M
HKC569 A330 CAT_B 14 2188.517 384.5214 9314.843 H
CKK263 B747 CAT_B 2 2002.183 424.07244 9341.389 H
CPA3261 B748 CAT_B 44 330.583 387.378 10823.843 H
CPA746 A330 CAT_B 44 372.39 383.64264 11360.014 H
CPA861 A359 CAT_B 44 453.03 379.24812 11807.444 H
HKE865 A320 CAT_D 14 2154.552 377.9298 11840.193 M
CPA714 B777 CAT_B 25 2128.753 496.14264 12155.467 H
ANA821 B788 CAT_B 14 2102.098 401.44032 12301.615 H
HDA251 A320 CAT_D 33 1174.092 544.26276 12622.289 M
GIA876 B737 CAT_D 25 2265.432 477.24624 13461.831 M
CPA796 A330 CAT_B 25 2216.774 489.99024 14609.832 H
CPA883 B777 CAT_B 44 371.144 413.30556 14766.763 H
UAE386 B777 CAT_B 44 369.628 386.05968 15027.725 H
CPA845 B777 CAT_B 44 308.353 382.10436 15262.827 H
CPA698 B777 CAT_B 33 1183.041 567.99324 15408.584 H
CPA032 B747 CAT_B 33 1376.61 557.88588 15552.991 H
CPA829 B777 CAT_B 44 323.599 379.02816 15560.23 H
CPA811 B777 CAT_B 44 434.117 389.79504 15724.605 H
CPA873 B777 CAT_B 44 353.644 391.33296 15931.965 H
HDA103 A330 CAT_B 33 1205.636 555.46884 16649.747 H
CKS257 B747 CAT_B 14 2081.562 387.5976 16708.884 H
SEJ031 B737 CAT_D 44 370.738 379.68768 17184.484 M
HDA111 A330 CAT_B 33 1311.383 518.5548 17186.081 H
CRK708 A330 CAT_B 23 2109.564 453.51576 17276.683 H
CPA794 A359 CAT_B 33 1224.435 565.5762000000001 17433.587 H
HDA169 A320 CAT_D 33 1346.821 536.35248 17574.571 M
CPA696 B777 CAT_B 44 358.832 410.44932 17957.038 H
CPA178 B777 CAT_B 23 2259.315 479.44332 18183.06 H
CPA748 B777 CAT_B 33 1193.285 556.78716 18308.359 H
CRK762 A359 CAT_B 33 1322.572 565.7958000000001 18320.257 H
CPA382 B777 CAT_B 44 516.508 406.0548 18628.699 H
CPA170 A359 CAT_B 23 2232.454 476.14752 18665.384 H
CPA354 A359 CAT_B 44 454.932 404.07732 19347.571 H
ANA8423 B763 CAT_C 14 2667.746 391.33296 19462.741 H
CPA270 A359 CAT_B 44 962.65 350.68356 19838.625 H
