callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
ICV5717 B747 CAT_B 44 144.471 159.0822 0.0 H
CPA930 A359 CAT_B 17 1853.677 446.9238 199.454 H
KAL313 B777 CAT_B 44 187.828 370.97051328000003 376.892 H
BOX597 B777 CAT_B 14 1998.526 426.26952 1396.933 H
HKE627 A320 CAT_D 44 3815.153 370.97051328000003 1928.232 M
CRK623 A320 CAT_D 14 2112.634 401.22072 2228.283 M
CEB242 A320 CAT_D 17 1952.274 431.1036 2971.166 M
CRK637 A330 CAT_B 14 2073.783 419.23836 3507.833 H
HKC9484 A330 CAT_B 44 516.234 370.01952 6317.61 H
NCR822 B747 CAT_B 17 2007.217 438.79392 6541.063 H
UAE9884 B777 CAT_B 44 337.006 403.63776 6923.192 H
HKC332 A330 CAT_B 33 1265.538 506.25 8264.583 H
ABW737 B748 CAT_B 25 2210.049 492.40728 8286.251 H
CPA138 B777 CAT_B 23 2095.749 466.04016 8916.609 H
ABW739 B748 CAT_B 44 343.645 394.84872 8930.611 H
CRK077 A330 CAT_B 17 2069.981 425.39076 9805.784 H
HKE764 A320 CAT_D 33 1268.486 500.53716 10932.547 M
PAC980 B747 CAT_B 25 2153.751 505.59084 11073.516 H
ANA821 B767 CAT_C 14 2150.133 400.34196 11372.868 H
CPA873 B777 CAT_B 14 1940.448 425.39076 11398.417 H
HKC569 A330 CAT_B 14 2227.097 388.03716 11407.725 H
CPA714 B777 CAT_B 25 2227.76 486.91404000000006 11798.997 H
CPA746 A330 CAT_B 44 441.051 427.14828 12196.53 H
CAL5825 B747 CAT_B 14 2071.546 403.85736 12386.412 H
HDA251 A320 CAT_D 33 1213.769 509.5458 12582.557 M
GIA876 B737 CAT_D 25 2172.525 458.56944 12842.421 M
CLX4626 B747 CAT_B 25 2050.006 497.90052 13813.756 H
CPA883 B777 CAT_B 14 1945.357 423.19332 14137.521 H
CPA796 A330 CAT_B 25 2041.161 470.43468 14728.934 H
PAC237 B747 CAT_B 14 2067.519 412.2072 15178.055 H
CRK708 A330 CAT_B 23 2339.694 457.47072 15739.306 H
CPA899 A359 CAT_B 44 453.069 424.29204 15787.803 H
HDA169 A320 CAT_D 33 1520.82 516.79692 15993.47 M
UAE386 B777 CAT_B 44 465.769 392.21208 16006.471 H
CPA698 B777 CAT_B 33 1498.508 529.32132 16158.628 H
CPA811 B777 CAT_B 44 468.231 387.5976 16457.521 H
CPA845 B777 CAT_B 44 438.212 377.05068 16661.086 H
HDA103 A330 CAT_B 33 1520.122 512.84196 16727.253 H
CPA829 B777 CAT_B 44 796.153 340.3566 16994.65 H
CPA881 B777 CAT_B 14 2033.145 417.70008 17071.836 H
