callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
KAL313 B777 CAT_B 1 1142.702 370.23912 0.0 H
AHK326 A330 CAT_B 44 294.602 235.76652 0.028 H
AHK769 A306 CAT_C 44 603.298 348.04692 0.188 H
AHK783 A330 CAT_B 1 909.948 369.36036 0.627 H
HKE627 A320 CAT_D 44 371.173 260.15616 128.712 M
AHK456 A306 CAT_C 44 340.092 277.29504 229.097 H
CPA048 B747 CAT_B 44 1589.089 340.6719137142857 260.165 H
AHK842 A306 CAT_C 44 350.332 240.16104 342.011 H
PAC215 B747 CAT_B 44 0.999 238.18356 444.572 H
ABW649 B748 CAT_B 14 2040.229 422.97372 518.414 H
AHK209 A306 CAT_C 44 44.477 254.66292 675.949 H
SOO7950 B777 CAT_B 44 577.745 360.13176 805.003 H
HKC571 A330 CAT_B 14 2195.026 389.57508 3703.785 H
CAL5835 B747 CAT_B 14 2128.072 419.0184 4727.111 H
UAE9832 B777 CAT_B 44 489.265 366.28416 4844.955 H
CRK637 A330 CAT_B 14 2217.8 390.01464 5250.815 H
CPA3259 B747 CAT_B 1 1406.2 410.22936 6817.75 H
CPA176 A330 CAT_B 23 1989.518 473.07132 8195.937 H
CPA138 B777 CAT_B 23 2098.607 482.95908 8300.427 H
HKC569 A330 CAT_B 14 2158.231 394.18956 8725.842 H
CKK263 B777 CAT_B 2 1978.967 431.3232 9653.831 H
CPA035 B747 CAT_B 14 2314.736 424.7316 9953.784 H
HKE764 A320 CAT_D 33 1281.417 521.6310000000001 10010.248 M
ANA821 B767 CAT_C 14 2030.521 415.94256 11172.887 H
FDX5124 MD11 CAT_C 44 600.957 393.9696 11177.502 H
HDA111 A330 CAT_B 33 1479.033 521.4110400000001 11190.906 H
CPA714 B777 CAT_B 25 2161.489 508.66704 11249.284 H
UAE9882 B777 CAT_B 44 657.059 379.46772 11301.373 H
TAY051 B747 CAT_B 44 563.835 371.55744 11545.074 H
CPA746 A330 CAT_B 44 486.694 389.13588 11995.799 H
QTR8404 B777 CAT_B 44 810.711 371.33784 12082.944 H
HDA251 A320 CAT_D 33 1168.474 522.0702 13020.399 M
CKS826 B747 CAT_B 44 530.513 377.9298 13316.854 H
CPA796 A330 CAT_B 25 2122.01 484.71696 13651.972 H
GIA876 B737 CAT_D 25 2157.894 493.9452 13774.059 M
HKC320 A330 CAT_B 25 2562.895 486.69444 13902.109 H
CPA883 B777 CAT_B 14 2137.813 411.10848 13950.884 H
UAE386 B777 CAT_B 44 530.314 388.69632 14648.614 H
HDA103 A330 CAT_B 33 1530.219 520.75188 14738.327 H
CPA873 B777 CAT_B 14 2165.086 411.98724 14903.173 H
CPA899 A359 CAT_B 44 321.543 367.60248 15193.293 H
CPA845 B777 CAT_B 44 646.493 380.34684 16186.679 H
CRK708 A330 CAT_B 23 2052.699 464.94144 16228.372 H
CPA698 B777 CAT_B 33 1227.029 553.2714 16346.869 H
CPA811 B777 CAT_B 44 504.281 384.96096 17199.87 H
HDA358 A320 CAT_D 25 2111.581 478.3446 17239.506 M
CPA3263 B747 CAT_B 44 567.845 317.06532000000004 17272.085 H
SEJ031 B737 CAT_D 44 515.489 374.8536 17530.292 M
CPA178 B777 CAT_B 23 2738.833 493.9452 17632.403 H
CPA829 B777 CAT_B 44 625.023 368.7012 17819.581 H
BOX514 B777 CAT_B 44 582.472 374.19444 18024.501 H
AIC310 B788 CAT_B 44 591.652 381.006 18179.647 H
HDA169 A320 CAT_D 33 1464.636 525.58596 18301.094 M
CRK762 A359 CAT_B 33 1616.044 563.5987200000001 18406.367 H
CPA382 B777 CAT_B 44 413.01 377.49024 18635.887 H
CPA748 B777 CAT_B 33 1695.66 549.0968399999999 18786.431 H
CPA676 A359 CAT_B 44 508.358 379.02816 18961.81 H
CPA338 A359 CAT_B 44 847.679 335.08296 19300.977 H
CPA306 A359 CAT_B 44 846.232 339.47748 19415.267 H
HDA997 A320 CAT_D 44 1057.038 352.22184000000004 19551.495 M
CKS2542 B747 CAT_B 14 2254.676 414.84384 19675.217 H
CPA354 A359 CAT_B 44 1043.807 355.29768 19689.129 H
CPA055 B747 CAT_B 2 2307.717 428.247 20050.922 H
CPA865 B777 CAT_B 14 2527.982 416.60172 20102.32 H
CPA292 A359 CAT_B 44 776.892 343.21284 20119.463 H
CRK780 A330 CAT_B 33 1855.597 539.64828 20233.612 H
CPA696 B777 CAT_B 44 857.758 362.5488 20259.605 H
CPA234 B777 CAT_B 44 869.684 357.93468 20418.65 H
CPA260 B777 CAT_B 44 853.007 322.119 20543.487 H
CPA252 B777 CAT_B 44 821.202 362.7684 20688.792 H
CPA320 A359 CAT_B 44 912.004 328.0518 20774.3 H
CPA216 A359 CAT_B 44 945.88 335.30256 20857.861 H
CPA881 B777 CAT_B 14 2222.099 408.25188 20996.922 H
CPA893 A359 CAT_B 14 2324.951 414.40428 21029.472 H
CRK028 A330 CAT_B 23 2363.987 471.09384 21110.693 H
CPA288 B777 CAT_B 44 1067.976 338.15916000000004 21142.614 H
AAL193 B777 CAT_B 44 1053.467 344.31156 21448.281 H
CPA270 A359 CAT_B 44 1269.132 289.16028 21572.467 H
CPA463 A330 CAT_B 14 2122.008 402.31944 21898.398 H
CRK539 A320 CAT_D 30 1763.358 499.43844 22056.371 M
IGO1773 A320 CAT_D 44 687.046 396.6066 22308.04 M
ETD937 B777 CAT_B 44 689.461 358.37388000000004 22413.97 H
CPA156 A359 CAT_B 17 1786.557 466.25976 22656.899 H
CPA170 A359 CAT_B 23 1839.689 504.05256 22979.356 H
CPA602 A330 CAT_B 33 1350.104 535.0341599999999 23223.407 H
CEB150 A320 CAT_D 17 2091.544 439.59948 24334.937 M
CPA610 A330 CAT_B 33 1391.9 531.9579600000001 25160.849 H
CPA465 A330 CAT_B 14 2113.727 390.6738 25387.225 H
FIN101 A359 CAT_B 44 303.802 358.81344 25525.879 H
QTR8422 B777 CAT_B 44 344.556 339.25788 25931.863 H
ETD834 A330 CAT_B 44 513.339 381.2256 26236.967 H
HDA617 A320 CAT_D 1 1493.537 371.7774 26304.217 M
MDA1819 E190 CAT_E 14 2166.092 386.71884 26584.469 M
CAL933 A330 CAT_B 14 1964.646 431.76276 26593.13 H
CKS247 B747 CAT_B 44 332.958 383.64264 26638.459 H
CEB240 A320 CAT_D 17 2427.244 435.71772 26695.63 M
EVA891 A320 CAT_D 14 2132.876 394.40916 26755.001 M
HDA451 A320 CAT_D 14 2375.532 414.62388 26823.698 M
CAL601 A330 CAT_B 14 2472.869 412.86636 26831.923 H
CPA678 A330 CAT_B 44 345.877 381.66516 27011.848 H
AXM237 A320 CAT_D 23 2718.312 461.42568 27141.073 M
CPA095 B748 CAT_B 14 2462.098 419.45796 27277.855 H
AIQ515 A320 CAT_D 33 1320.652 520.53228 27328.094 M
EVA6089 B777 CAT_B 14 2596.676 402.31944 27379.063 H
HDA153 A330 CAT_B 33 1469.355 531.0791999999999 27512.097 H
CEB272 A330 CAT_B 17 2434.607 437.91516 27657.261 H
CPA932 A330 CAT_B 17 2210.15 430.66404 28090.543 H
HKE677 A320 CAT_D 14 2096.05 395.72748 28103.277 M
CPA632 B777 CAT_B 33 1475.322 553.0518 28149.235 H
CRK647 A320 CAT_D 14 2197.702 393.09084 28198.269 M
CRK782 A330 CAT_B 17 2063.753 427.36824 28707.657 H
CPA660 B777 CAT_B 44 775.322 346.06944000000004 28744.766 H
TGW978 A320 CAT_D 25 2149.011 484.05744 28760.086 M
CRK285 A330 CAT_B 14 2089.436 368.4816 29118.349 H
CRK176 A320 CAT_D 1 1479.42 377.9298 29177.843 M
MDA981 E190 CAT_E 14 2128.01 389.35548 29327.398 M
EVA851 A330 CAT_B 14 2143.023 413.74512 29562.433 H
CSZ9091 A320 CAT_D 1 1431.943 411.10848 29623.516 M
CAL903 B747 CAT_B 14 2188.881 417.92004 29631.885 H
HDA857 A330 CAT_B 2 2163.823 388.03716 29866.862 H
CPA694 A330 CAT_B 33 1369.995 541.18656 30231.791 H
CPA407 B777 CAT_B 14 2101.754 416.82132 30238.996 H
CRK231 A359 CAT_B 2 2136.948 388.69632 30522.031 H
CPA616 A330 CAT_B 33 1478.214 529.76088 30650.222 H
CRK603 A320 CAT_D 14 2274.631 388.25676 30705.071 M
CRK6355 A320 CAT_D 44 496.932 388.25676 30850.675 M
CSN3075 B737 CAT_D 44 471.283 405.83484 31448.458 M
UAE9282 B777 CAT_B 44 745.5 325.1952 31492.032 H
CCA411 A320 CAT_D 44 828.61 309.1554 31642.559 M
CAL641 A330 CAT_B 14 2204.02 405.83484 31697.507 H
HDA623 A330 CAT_B 1 1549.287 424.51164 31805.405 H
PAL300 A330 CAT_B 17 2164.434 444.28716 31842.323 H
CRK453 A320 CAT_D 44 583.473 366.06456 31974.758 M
CES721 A330 CAT_B 1 1529.322 436.59684 32143.466 H
CES2901 A320 CAT_D 44 623.994 359.91216 32156.458 M
CRK497 A320 CAT_D 44 566.705 368.04204 32312.11 M
HKE625 A320 CAT_D 14 2065.374 392.87124 32428.504 M
AIQ508 A320 CAT_D 33 1362.161 526.24512 32432.855 M
CRK305 A330 CAT_B 44 628.52 341.23536 32457.388 H
CPA403 B777 CAT_B 14 2209.599 410.22936 32512.497 H
CRK129 A320 CAT_D 1 1587.507 407.59272 32535.792 M
CPA738 A330 CAT_B 44 606.874 335.96208 32611.394 H
CPA912 B777 CAT_B 17 2020.974 449.56044 32887.984 H
HDA643 A320 CAT_D 1 1418.122 403.1982 32956.152 M
AFL212 B777 CAT_B 44 446.092 366.72372 33116.224 H
HDA692 A330 CAT_B 30 1883.541 495.04392 33118.695 H
CRK221 A320 CAT_D 1 1593.12 384.0822 33517.819 M
AXM138 A320 CAT_D 25 2568.074 495.70308 33547.063 M
HDA871 A320 CAT_D 2 1997.874 404.51652 33649.993 M
CEB110 A330 CAT_B 17 2500.064 441.28416 33724.754 H
SIA890 B777 CAT_B 25 2562.306 520.0927200000001 33959.868 H
KAL603 B777 CAT_B 14 2322.252 427.80744 33992.583 H
CES765 A320 CAT_D 44 584.411 356.3964 34032.053 M
HDA863 A330 CAT_B 1 1594.508 398.36412 34369.363 H
CXA381 B737 CAT_D 1 2061.265 325.1952 34567.682 M
CES501 A320 CAT_D 2 2587.989 392.43168 34712.276 M
HDA961 A320 CAT_D 44 460.884 381.66516 34946.285 M
CXA8015 B737 CAT_D 1 1852.099 403.85736 34979.827 M
CRK363 A330 CAT_B 44 621.071 310.69332 35130.547 H
HKE227 A320 CAT_D 1 1914.149 349.58484 35134.791 M
UBA8027 B737 CAT_D 33 1593.049 523.16892 35141.311 M
CPA710 A330 CAT_B 25 2190.948 506.68956 35243.671 H
HDA825 A330 CAT_B 44 558.841 308.05668000000003 35306.978 H
THA600 B777 CAT_B 33 1515.21 552.61224 35419.349 H
APG1264 A320 CAT_D 17 2196.779 430.66404 35451.926 M
HDA831 A320 CAT_D 2 2073.522 383.20308 35474.547 M
GEC8476 MD11 CAT_C 33 1631.106 525.80556 35517.365 H
HDA453 A320 CAT_D 14 2173.341 405.83484 35577.619 M
HDA937 A330 CAT_B 44 823.397 276.63588 35583.477 H
TWB115 B737 CAT_D 14 2433.623 382.54392 35877.275 M
CPA415 A330 CAT_B 14 2173.233 397.48536 35885.345 H
CPA469 A330 CAT_B 14 2121.972 390.6738 36640.171 H
SIA860 A359 CAT_B 25 2194.68 531.2987999999999 37059.071 H
HDA905 A330 CAT_B 44 778.122 344.09196000000003 37179.339 H
ESR931 B737 CAT_D 14 2040.653 389.57508 37421.767 M
AAR721 A330 CAT_B 14 2287.26 419.67756 37494.299 H
CCA101 A320 CAT_D 44 645.166 335.74212 37559.656 M
HDA730 A330 CAT_B 25 2114.257 482.95899 37570.879 H
CLX4626 B747 CAT_B 25 2190.168 514.37988 37712.921 H
KLM887 B777 CAT_B 44 664.405 333.98424 37774.582 H
EVA867 A320 CAT_D 14 2155.199 385.62012 37877.267 M
CPA700 A330 CAT_B 33 1222.282 524.48724 37906.025 H
CRK235 A330 CAT_B 2 2154.528 392.43168 38058.766 H
AXM134 A320 CAT_D 25 2146.301 495.04392 38247.477 M
HKE183 A320 CAT_D 14 2134.207 391.55256 38342.727 M
CSN310 A320 CAT_D 44 455.342 366.94332 38483.206 M
JNA113 B737 CAT_D 14 2061.943 386.05968 38640.009 M
HDA433 A320 CAT_D 14 2091.784 400.78116 38727.351 M
CPA597 A359 CAT_B 14 2082.421 412.2072 38967.38 H
MKR977 A320 CAT_D 30 2059.602 471.53304 39100.93 M
CAL672 B737 CAT_D 23 2120.704 452.19744 39128.814 M
CAL909 A330 CAT_B 14 2086.374 413.96472 39459.36 H
