callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
CPA2533 A330 CAT_B 1 1596.424 388.47672 0.0 H
AHK326 A330 CAT_B 44 339.229 223.90128 117.449 H
AHK209 A306 CAT_C 44 317.151 217.52928 265.593 H
KAL9415 A330 CAT_B 44 368.069 261.47448 520.676 H
VNL309 A320 CAT_D 14 2287.04 366.94332 2373.459 M
CRK623 A320 CAT_D 14 2175.902 378.80856 2659.515 M
ABW331 B748 CAT_B 14 2155.997 400.122 3730.253 H
CRK637 A330 CAT_B 14 2150.314 397.70496 3985.257 H
BOX514 B777 CAT_B 44 450.213 422.31456 4979.055 H
CPA138 B777 CAT_B 23 2056.053 469.55556 8181.886 H
CRK077 A330 CAT_B 17 2198.941 430.66404 9011.354 H
HKE764 A320 CAT_D 33 1307.456 502.51464 9545.941 M
CKS257 B747 CAT_B 14 2092.339 389.35548 9892.578 H
ANA821 B788 CAT_B 14 2265.315 420.33708 9972.565 H
CPA714 B777 CAT_B 25 2065.799 495.48347999999993 11094.777 H
CPA746 A330 CAT_B 44 525.292 400.56156 11523.159 H
CPA861 A359 CAT_B 44 793.226 388.47672 11615.517 H
CPA796 A359 CAT_B 25 2463.148 497.0214 13091.835 H
CPA899 A359 CAT_B 44 476.878 367.60248 13395.62 H
HDA251 A320 CAT_D 33 1465.388 507.34872 13946.479 M
CPA845 B777 CAT_B 44 304.079 330.68844 14328.575 H
CPA698 B777 CAT_B 33 1221.107 541.40616 14931.066 H
CRK708 A330 CAT_B 23 2084.322 460.98648 15337.085 H
UAE386 B777 CAT_B 44 500.092 382.98348 15378.989 H
CPA811 B777 CAT_B 44 434.327 427.14828 15572.799 H
CPA873 B777 CAT_B 44 583.098 348.26652 15705.969 H
HDA103 A330 CAT_B 33 1283.774 506.90916 15713.78 H
CPA676 A359 CAT_B 44 579.191 392.43168 15886.222 H
CPA829 B777 CAT_B 44 497.311 379.90728 16091.793 H
CPA794 A359 CAT_B 30 1896.737 507.56832 16797.113 H
GIA876 B737 CAT_D 25 2402.231 477.24624 16801.38 M
CPA306 A359 CAT_B 44 439.116 415.06344 16901.058 H
AIC314 B788 CAT_B 44 587.497 413.08596 17036.054 H
CPA354 A359 CAT_B 44 561.537 397.0458 17220.678 H
CPA178 B777 CAT_B 23 2198.764 472.41216 17398.904 H
CPA260 B777 CAT_B 44 289.689 380.56644 18064.843 H
CPA156 A359 CAT_B 17 2050.844 444.50676 18191.25 H
CRK762 A359 CAT_B 33 1284.518 536.35248 18228.12 H
HDA997 A320 CAT_D 44 516.049 349.36524000000003 18317.524 M
HDA111 A330 CAT_B 33 2019.156 487.3536 18415.346 H
CPA748 B777 CAT_B 33 1487.585 518.9939999999999 18461.91 H
CPA252 B777 CAT_B 44 450.146 386.93844 18529.321 H
CPA216 A359 CAT_B 44 489.168 407.15316 18613.446 H
CPA270 A359 CAT_B 44 583.236 378.58896 18740.569 H
CPA382 B777 CAT_B 44 599.937 388.25676 19100.727 H
CRK028 A330 CAT_B 17 1970.533 431.5428 19471.566 H
CPA865 B777 CAT_B 44 637.675 400.34196 19716.816 H
CPA234 B777 CAT_B 44 676.837 324.09684000000004 19807.709 H
CPA292 A359 CAT_B 44 631.947 352.22184000000004 19965.013 H
CPA170 A359 CAT_B 23 2026.759 483.39828 19994.488 H
CPA881 B777 CAT_B 44 487.63 394.40916 20247.446 H
CLX8923 B748 CAT_B 44 595.938 418.13964 20427.875 H
CPA288 B777 CAT_B 44 438.525 370.89828 20869.69 H
CPA463 A330 CAT_B 14 2322.702 387.5976 20986.337 H
CPA318 A359 CAT_B 44 427.551 374.63364 21168.009 H
CRK780 A330 CAT_B 33 1242.456 506.25 21284.273 H
CRK539 A320 CAT_D 30 1926.28 481.4208 22264.131 M
CPA602 A330 CAT_B 33 1376.256 509.3262 23094.767 H
IGO1773 A320 CAT_D 44 556.078 378.1494 23368.936 M
CEB150 A320 CAT_D 17 2062.789 424.51164 23560.221 M
CEB272 A320 CAT_D 17 2194.306 406.71396 23954.79 M
CPA932 A330 CAT_B 17 1977.727 422.0946 24463.941 H
CPA085 B748 CAT_B 44 377.117 404.51652 24636.899 H
CPA465 B777 CAT_B 14 2123.692 409.5702 24968.826 H
ABW9061 B748 CAT_B 44 397.559 322.77816 25067.732 H
CLX6322 B748 CAT_B 33 1333.824 538.7695199999999 25472.827 H
CEB240 A320 CAT_D 17 1990.045 413.96472 25544.038 M
CPA893 A359 CAT_B 44 423.478 418.13964 25605.683 H
EVA891 A320 CAT_D 14 2135.742 403.85736 25932.278 M
CAL601 A330 CAT_B 14 2172.259 415.7226 26035.359 H
ETD834 A330 CAT_B 44 546.635 394.62876 26053.372 H
MDA1819 E190 CAT_E 14 2344.976 399.24324 26222.625 M
HDA617 A320 CAT_D 1 1422.846 408.25188 26475.419 M
CAL933 A330 CAT_B 14 2168.036 405.61524 26663.748 H
HDA153 A330 CAT_B 33 1452.615 532.39752 26837.58 H
HDA451 A330 CAT_B 14 2007.885 406.93356 27071.052 H
CPA632 B777 CAT_B 33 1387.286 529.32132 27309.523 H
CPA726 A330 CAT_B 30 1979.838 500.97672000000006 27672.332 H
AXM237 A320 CAT_D 23 2245.79 450.87876 27797.269 M
CRK782 A330 CAT_B 17 2218.611 432.20232 27942.788 H
CRK285 A330 CAT_B 14 2250.808 393.75 28027.977 H
HKE677 A320 CAT_D 14 2329.744 380.56644 28084.061 M
AIQ515 A320 CAT_D 33 1339.512 500.53716 28208.21 M
TGW978 A320 CAT_D 25 2211.55 465.381 28482.086 M
CPA610 B777 CAT_B 33 1393.223 526.02552 28509.777 H
HDA857 A320 CAT_D 2 2177.022 415.94256 28742.977 M
EVA851 A320 CAT_D 14 2209.834 399.24324 28817.919 M
CRK647 A320 CAT_D 14 2280.856 382.32432 28852.852 M
