callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
AHK783 A330 CAT_B 1 997.173 378.1494 0.0 H
AHK129 A306 CAT_C 14 1956.062 392.43168 0.03 H
AHK205 A306 CAT_C 14 2114.144 387.81756 0.699 H
EVA6535 B777 CAT_B 44 344.625 197.75376 58.109 H
HKE627 A320 CAT_D 44 364.099 276.85548 422.224 M
KAL313 B747 CAT_B 44 345.164 229.61412 776.42 H
AHK842 A306 CAT_C 33 1263.626 519.87312 1184.058 H
AHK316 A330 CAT_B 25 2116.509 479.66292 2624.203 H
HKC318 A330 CAT_B 44 515.136 404.73648 2722.542 H
CRK623 A320 CAT_D 14 2303.638 362.7684 3155.355 M
CPA3281 B748 CAT_B 44 501.364 399.46284 3525.878 H
CRK637 A320 CAT_D 14 2093.093 386.05968 4802.759 M
CKS247 B747 CAT_B 44 329.342 381.4452 6306.951 H
CPA081 B748 CAT_B 44 333.437 399.46284 7969.358 H
ETD9843 B777 CAT_B 44 360.44 382.10436 8391.897 H
CKK263 B777 CAT_B 2 2002.549 439.23348 8416.119 H
CPA138 B777 CAT_B 23 2054.157 470.43468 9154.231 H
HKE764 A320 CAT_D 33 1197.575 494.38476 9394.966 M
HKC569 A330 CAT_B 14 2232.539 397.92492 9589.341 H
HKC9004 A330 CAT_B 1 1628.894 483.39828 9797.383 H
TAY051 B747 CAT_B 44 410.46 396.6066 10549.918 H
CAL5835 B747 CAT_B 14 2020.765 389.35548 10964.414 H
CPA861 A359 CAT_B 44 512.561 409.5702 11020.11 H
CPA714 B777 CAT_B 25 2261.865 497.24136 11238.312 H
ANA821 B767 CAT_C 14 2086.063 377.27064 11312.676 H
HKE865 A320 CAT_D 14 2198.292 370.01952 11556.641 M
CPA746 A330 CAT_B 44 434.452 411.32808 11905.444 H
GIA876 B737 CAT_D 25 2308.834 472.85172000000006 13117.195 M
CPA899 A359 CAT_B 44 480.421 407.37312 13405.136 H
HDA251 A320 CAT_D 33 1144.314 523.60848 13611.789 M
CPA796 A359 CAT_B 25 2210.556 513.94032 14540.723 H
HDA103 A330 CAT_B 33 1217.913 525.58596 15206.652 H
UAE386 B777 CAT_B 44 398.746 392.87124 15367.454 H
CPA845 B777 CAT_B 44 477.15 402.9786 15536.076 H
CPA873 B777 CAT_B 14 2116.844 401.00112 15571.648 H
CPA3261 B747 CAT_B 44 460.765 434.83896 15836.782 H
SIA7868 B747 CAT_B 25 2104.411 506.25 16179.915 H
SEJ031 B737 CAT_D 44 383.912 402.31944 16572.891 M
CPA829 B777 CAT_B 44 472.694 418.35924 16662.184 H
CPA811 B777 CAT_B 44 362.204 393.9696 17084.391 H
CRK708 A330 CAT_B 23 2228.688 447.1434 17087.402 H
CPA676 A359 CAT_B 44 499.255 407.81232 17503.022 H
CPA178 B777 CAT_B 23 2192.117 452.19744 17590.101 H
HDA169 A320 CAT_D 33 1185.776 523.60848 17664.342 M
CPA883 B777 CAT_B 14 2486.08 409.79016 17707.088 H
HDA111 A330 CAT_B 33 1231.758 522.0702 17964.235 H
CPA696 B777 CAT_B 44 442.733 397.48536 17970.075 H
CPA382 B777 CAT_B 44 525.798 398.36412 18152.903 H
CPA748 B777 CAT_B 33 1709.681 546.0206400000001 18273.199 H
CPA698 B777 CAT_B 33 1757.036 552.17268 18312.566 H
AIC314 B788 CAT_B 44 359.871 387.15804 18649.544 H
CPA156 A359 CAT_B 17 2351.128 438.57432 18915.489 H
HDA997 A320 CAT_D 44 497.476 371.33784 18953.929 M
CRK762 A359 CAT_B 33 1585.057 552.39264 19016.705 H
CPA292 A359 CAT_B 44 568.853 407.37312 19106.258 H
CPA170 A359 CAT_B 23 2409.757 484.2774 19109.236 H
ANA8423 B763 CAT_C 14 2348.106 389.35548 19265.502 H
CPA865 B777 CAT_B 44 868.271 375.73236 19438.203 H
UAE9884 B777 CAT_B 44 820.257 380.56644 19659.594 H
CKS2542 B747 CAT_B 14 2311.531 407.59272 19833.471 H
CLX4625 B748 CAT_B 44 789.597 397.0458 19991.695 H
CPA234 B777 CAT_B 44 777.537 411.10848 20108.096 H
CPA893 A359 CAT_B 14 2194.442 410.00976 20152.047 H
CPA270 A359 CAT_B 44 562.172 426.48912 20509.458 H
CRK780 A330 CAT_B 33 1410.938 528.44256 20620.954 H
CPA288 B777 CAT_B 44 1067.098 366.72372 20660.386 H
CPA260 B777 CAT_B 44 631.912 380.34684 21288.454 H
HKE615 A320 CAT_D 14 2183.121 373.75488 21334.22 M
CPA463 A330 CAT_B 14 2228.327 390.23424 21448.729 H
CPA216 A359 CAT_B 44 942.656 395.50788 21524.184 H
CPA354 A359 CAT_B 44 861.866 345.19032000000004 21762.457 H
CPA318 A359 CAT_B 44 926.1 342.55368 21811.381 H
PAC735 B747 CAT_B 14 2172.64 416.38176 21837.755 H
AAL193 B777 CAT_B 44 1000.123 429.56532 21863.26 H
CPA252 B777 CAT_B 44 1027.879 345.19032000000004 21998.84 H
IGO1773 A320 CAT_D 44 960.275 340.13664 22181.774 M
QTR8404 B748 CAT_B 44 1021.98 367.16292 22256.588 H
CRK539 A320 CAT_D 30 1852.574 447.80256 23192.229 M
CRK028 A330 CAT_B 23 2090.94 439.45308 23257.311 H
CEB150 A320 CAT_D 17 2157.296 396.8262 23778.892 M
AAR952 B747 CAT_B 44 434.571 393.5304 25176.057 H
CEB240 A320 CAT_D 17 2257.588 399.9024 25183.121 M
EVA891 A330 CAT_B 14 2208.751 382.10436 25189.061 H
CPA610 A330 CAT_B 33 1249.495 529.32132 25549.813 H
HKC830 A330 CAT_B 1 1537.533 389.79504 25717.597 H
MDA1819 E190 CAT_E 14 2265.891 358.15428 25848.784 M
ETD834 A330 CAT_B 44 419.435 371.11824 25863.624 H
CPA465 A330 CAT_B 14 2274.141 393.75 25935.436 H
HDA617 A320 CAT_D 1 1489.638 393.9696 26177.25 M
CEB272 A320 CAT_D 17 2242.334 392.43168 26224.798 M
CPA932 A330 CAT_B 17 2146.529 399.46284 26525.919 H
HDA451 A330 CAT_B 14 2152.959 369.79992 26909.0 H
FIN101 A359 CAT_B 44 583.611 378.369 26971.094 H
CAL601 B737 CAT_D 14 2287.288 361.01088 27020.45 M
SOO7923 B777 CAT_B 44 560.309 394.40916 27244.862 H
