callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
KAL313 B777 CAT_B 44 30.512 156.88476 0.0 H
AHK783 A330 CAT_B 1 1001.342 338.81832 0.112 H
HKE651 A320 CAT_D 1 852.587 363.20796 0.212 M
NCA203 B748 CAT_B 44 197.032 215.5518 0.623 H
AHK129 A306 CAT_C 14 1915.62 437.6952 0.705 H
CPA636 A330 CAT_B 25 2039.531 456.59196 1.206 H
AHK205 A306 CAT_C 1 1337.436 426.26952 85.397 H
JJA2185 B737 CAT_D 1 1441.105 415.7226 178.099 M
UAE9880 B777 CAT_B 44 20.682 239.28228 192.885 H
HDA809 A330 CAT_B 1 1562.24 380.34684 214.399 H
AHK681 A306 CAT_C 14 2193.793 437.91516 329.814 H
SIA7868 B747 CAT_B 1 636.78 331.78716 468.272 H
CPA934 B777 CAT_B 17 2142.456 438.35436 496.026 H
CPA479 A359 CAT_B 44 350.869 277.07508 570.531 H
HDA975 A320 CAT_D 44 561.288 413.08596 640.109 M
HDA883 A330 CAT_B 1 1451.997 373.31532 704.757 H
HDA897 A330 CAT_B 1 1389.203 445.82508 882.585 H
HDA209 A330 CAT_B 30 2057.799 459.4482 938.961 H
HKE863 A320 CAT_D 14 2117.007 411.98724 991.431 M
AHK316 A306 CAT_C 25 2054.988 491.30856 1235.781 H
AHK842 A306 CAT_C 33 1594.699 516.57732 1263.613 H
HKC9072 A330 CAT_B 44 664.742 361.88964 1725.624 H
HKC318 A330 CAT_B 44 768.724 344.31156 1973.91 H
EVA6535 B777 CAT_B 14 2167.658 439.67268 2051.176 H
HKE769 A320 CAT_D 33 1291.429 487.3536 2430.907 M
HDA663 A330 CAT_B 1 1442.097 408.91104 2551.897 H
CAL5823 B747 CAT_B 1 1504.017 426.04992 3098.023 H
CRK693 A330 CAT_B 14 2141.423 430.22448 3401.717 H
HDA227 A320 CAT_D 30 1924.189 468.01764 3486.209 M
HKE627 A320 CAT_D 14 2046.966 407.81232 3683.854 M
CRK613 A330 CAT_B 14 2169.368 423.19332 4299.717 H
CPA419 A359 CAT_B 2 1986.189 451.31832 4651.536 H
HDA483 A330 CAT_B 14 2151.757 418.5792 5027.83 H
CRK313 A330 CAT_B 44 706.489 372.43656 5225.998 H
CRK623 A320 CAT_D 2 2087.363 419.67756 5293.796 M
CRK766 A320 CAT_D 33 1359.869 485.81532 5475.035 M
CPA3123 B748 CAT_B 44 625.802 407.15316 5482.603 H
CKS247 B747 CAT_B 44 632.774 379.24812 5592.08 H
BOX514 B777 CAT_B 44 461.443 397.0458 5896.82 H
HKE703 A320 CAT_D 33 1358.51 475.92756 6240.15 M
CKK263 B777 CAT_B 2 1945.383 468.23724 8739.004 H
CPA473 A359 CAT_B 14 2032.604 456.59196 8772.952 H
ETD9843 B777 CAT_B 44 1215.198 350.90316 8793.643 H
HDA637 A330 CAT_B 1 1387.119 479.88288 8967.235 H
HKC569 A330 CAT_B 14 2005.566 408.47184 9090.84 H
ANA821 B767 CAT_C 14 2001.755 422.75376 9325.43 H
CPA869 A359 CAT_B 44 489.708 380.34684 9672.903 H
QFA117 A330 CAT_B 23 2122.381 445.16592 9829.722 H
QTR8406 B777 CAT_B 44 535.179 400.78116 10939.395 H
CPA857 A359 CAT_B 14 1992.596 454.61412 11426.323 H
CPA811 B777 CAT_B 44 422.089 350.0244 11740.603 H
CPA829 B777 CAT_B 44 384.14 388.91592 12226.904 H
ATG4431 B747 CAT_B 44 532.92 400.34196 12554.677 H
CPA883 B777 CAT_B 14 1899.931 441.43056 13022.319 H
GIA876 B737 CAT_D 25 2235.015 463.18356 13240.27 M
CPA746 B777 CAT_B 44 413.168 417.70008 13271.707 H
CPA899 A359 CAT_B 44 549.586 396.38664 13337.02 H
HKE764 A320 CAT_D 33 1467.883 509.5458 13679.139 M
CPA873 B777 CAT_B 14 2019.509 448.68168 14167.774 H
CPA676 A359 CAT_B 44 550.569 376.83108 14448.245 H
CPA851 A359 CAT_B 14 1967.4 458.12988 14762.431 H
HDA251 A320 CAT_D 33 1194.1 500.53716 15386.752 M
CPA845 B777 CAT_B 44 453.004 398.80368 16435.856 H
CPA881 B777 CAT_B 14 2046.95 444.06756 16456.238 H
QTR8400 B777 CAT_B 44 428.423 435.71772 16632.922 H
AAL193 B777 CAT_B 14 2114.975 442.30968 16836.083 H
CPA798 A330 CAT_B 25 2125.802 463.62312 17340.4 H
CPA270 A359 CAT_B 44 361.855 422.97372 17620.244 H
CPA292 A359 CAT_B 44 503.205 398.80368 17751.649 H
CPA178 B777 CAT_B 23 2092.707 467.79768 18693.065 H
UAE386 B777 CAT_B 44 499.602 406.71396 18693.517 H
CPA748 B777 CAT_B 33 1298.225 518.11524 19020.12 H
CPA216 A359 CAT_B 44 450.946 415.7226 19298.286 H
CKS252 B747 CAT_B 14 2279.973 450.2196 19382.582 H
CPA234 B777 CAT_B 44 452.337 441.43056 19461.78 H
CPA714 B777 CAT_B 25 2581.207 479.22372 19614.903 H
ANA8423 B763 CAT_C 14 2202.786 439.23348 19674.063 H
CPA260 B777 CAT_B 44 340.719 422.0946 19747.926 H
CPA382 A359 CAT_B 44 652.453 396.8262 19800.171 H
CPA081 B748 CAT_B 14 2171.429 448.24212 19883.448 H
CRK780 A359 CAT_B 33 1440.12 520.09272 20016.47 H
CPA372 A359 CAT_B 44 411.364 404.95608 20163.86 H
CRK708 A330 CAT_B 23 2343.721 442.52928 20229.585 H
CPA318 A359 CAT_B 44 482.229 386.27928 20461.506 H
