callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
ICV5717 B747 CAT_B 1 1450.071 422.0946 0.0 H
CEB242 A320 CAT_D 44 379.427 224.7804 247.57 M
BOX597 B777 CAT_B 14 1957.642 423.41292 1185.587 H
HKC318 A330 CAT_B 44 399.939 408.69144 1536.561 H
CPA078 B747 CAT_B 30 1768.78 509.98536 1926.681 H
CRK623 A320 CAT_D 14 2094.792 392.21208 2223.121 M
CRK637 A330 CAT_B 14 2118.463 411.10848 3470.771 H
HKC569 A330 CAT_B 14 2005.278 405.83484 6890.206 H
SVA982 B777 CAT_B 44 438.799 402.09948 8263.764 H
RMY3505 B762 CAT_C 25 2266.565 467.13852 9610.247 H
CRK077 A330 CAT_B 17 2046.784 442.74888 10242.539 H
HKE764 A320 CAT_D 33 1353.612 503.61336 10664.819 M
ANA821 B767 CAT_C 14 2040.582 420.33708 10830.834 H
CPA138 B777 CAT_B 23 2156.183 479.00376 10837.309 H
PAC980 B747 CAT_B 25 2168.819 507.78792 11110.615 H
CPA714 B777 CAT_B 25 2137.278 505.37124 11524.726 H
CPA861 A359 CAT_B 44 457.787 422.31456 11988.093 H
HDA251 A320 CAT_D 33 1235.171 509.3262 12203.694 M
CPA746 A330 CAT_B 44 443.85 395.72748 12220.182 H
PAC9236 B763 CAT_C 14 2062.008 393.5304 12575.872 H
GIA876 B737 CAT_D 25 2099.265 483.39828 13425.611 M
PAC237 B748 CAT_B 14 1963.518 430.66404 13933.735 H
CPA873 B777 CAT_B 14 2103.717 424.7316 13967.452 H
CAL5835 B747 CAT_B 14 2085.676 411.10848 14565.092 H
CPA899 A359 CAT_B 44 386.955 412.2072 15265.268 H
CPA845 B777 CAT_B 44 792.786 387.5976 15482.194 H
CPA883 B777 CAT_B 14 2019.498 427.80744 15540.899 H
CPA796 A359 CAT_B 25 2175.081 508.00788 15596.953 H
CPA811 B777 CAT_B 44 544.51 406.0548 15848.794 H
CRK708 A330 CAT_B 23 2076.877 451.53792 16077.063 H
CPA698 B777 CAT_B 33 1228.162 528.44256 16142.501 H
HDA103 A330 CAT_B 33 1409.889 487.7928 16489.157 H
UAE386 B777 CAT_B 44 355.773 390.23424 16729.845 H
SEJ031 B737 CAT_D 44 537.434 355.51764000000003 17112.785 M
HDA169 A320 CAT_D 33 1387.867 501.63588 17350.831 M
CPA382 B777 CAT_B 44 506.493 382.10436 17500.757 H
CPA068 B748 CAT_B 44 587.796 443.18844 17756.646 H
CPA338 A359 CAT_B 44 522.076 392.87124 17941.643 H
BOX516 B777 CAT_B 44 482.445 366.28416 18102.689 H
CPA178 B777 CAT_B 23 2096.707 489.99024 18322.907 H
CPA748 B777 CAT_B 33 1270.121 526.68468 18395.38 H
CPA829 B777 CAT_B 44 381.54 383.42268 18488.554 H
CPA354 A359 CAT_B 44 365.106 402.75864 18678.169 H
UAE9884 B777 CAT_B 44 422.128 385.18056 18758.691 H
CPA288 B777 CAT_B 44 466.871 411.98724 18942.95 H
CPA234 B777 CAT_B 44 626.064 325.41516 19213.226 H
CPA156 A359 CAT_B 17 2026.216 479.44332 19310.189 H
HDA997 A320 CAT_D 44 607.527 368.4816 19348.759 M
CPA270 A359 CAT_B 44 602.229 329.15052000000003 19460.936 H
CRK028 A330 CAT_B 17 2057.897 445.16592 19548.363 H
CPA260 B777 CAT_B 44 584.875 360.57132 19610.507 H
CPA881 B777 CAT_B 14 2092.498 426.26952 19651.806 H
AIC310 B788 CAT_B 44 567.2 393.5304 19754.725 H
AAL193 B777 CAT_B 14 2167.925 430.44444 19867.942 H
CPA170 A359 CAT_B 23 2037.495 486.47448 19904.878 H
CPA216 A359 CAT_B 44 640.059 399.68244 19984.461 H
CPA320 A359 CAT_B 44 625.041 357.71472 20109.479 H
CPA252 B777 CAT_B 44 666.503 367.82244 20293.008 H
ETH3718 B777 CAT_B 44 677.803 409.131 20422.29 H
CPA318 A359 CAT_B 44 683.376 353.97936 20518.819 H
CPA865 B777 CAT_B 14 1980.986 426.92868 20552.272 H
CPA893 A359 CAT_B 14 2050.08 429.56532 20648.992 H
CLX4627 B748 CAT_B 44 802.108 370.01952 20662.93 H
CRK762 A330 CAT_B 33 1406.909 508.44744 20766.345 H
SIA7370 B747 CAT_B 25 2289.667 504.93168 20768.271 H
CRK780 A330 CAT_B 33 1249.253 509.1066 21155.743 H
HKE615 A320 CAT_D 14 1974.576 401.66028 21378.235 M
CPA463 A330 CAT_B 14 2152.988 405.17568 21462.891 H
CPA602 A330 CAT_B 33 1250.016 498.55968 22002.214 H
THY6490 B747 CAT_B 44 571.894 396.38664 22227.141 H
IGO1773 A320 CAT_D 44 534.336 368.26164 22948.483 M
CRK539 A320 CAT_D 30 1874.497 473.51076 23268.233 M
CEB272 A330 CAT_B 17 2016.338 443.8476 23739.831 H
CEB150 A320 CAT_D 17 2187.528 435.05856 23814.152 M
WGN2531 B747 CAT_B 14 2009.657 437.6952 24300.335 H
CPA465 A330 CAT_B 14 2143.84 410.88852 24815.25 H
CEB240 A320 CAT_D 17 1983.049 435.93768 24825.303 M
CPA3181 B748 CAT_B 44 530.711 368.4816 24888.839 H
CPA932 A359 CAT_B 17 1921.85 476.80668 25263.661 H
