callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
HKE627 A320 CAT_D 1 909.624 340.13664 0.0 M
AHK783 A330 CAT_B 1 1194.17 425.82996 0.17 H
AHK842 A306 CAT_C 33 1062.625 530.63964 0.182 H
HKE863 A320 CAT_D 1 1302.715 403.1982 0.27 M
KAL313 B777 CAT_B 44 279.108 206.5428 0.336 H
KMI525 B737 CAT_D 44 208.751 186.10848 0.753 M
HKE703 A320 CAT_D 44 42.652 245.43468 26.507 M
AHK209 A306 CAT_C 44 390.895 243.23724 216.632 H
CPA035 B747 CAT_B 44 299.98 358.02532956521736 277.376 H
PAC215 B747 CAT_B 44 307.1 358.0253295652174 338.611 H
AHK326 A306 CAT_C 44 353.266 240.6006 342.269 H
ABW649 B748 CAT_B 14 2168.284 393.75 419.098 H
ABW639 B748 CAT_B 25 2350.819 474.60924 544.193 H
NCA203 B748 CAT_B 44 329.551 261.69444000000004 621.802 H
HKC318 A330 CAT_B 44 674.397 417.26088 1043.766 H
CRK613 A320 CAT_D 14 2102.492 408.25188 1894.823 M
HDA975 A320 CAT_D 44 415.013 364.96584 1907.534 M
AHK456 A306 CAT_C 17 1895.959 440.11224 2270.977 H
CPA048 B747 CAT_B 44 455.762 392.87124 4435.85 H
CKS253 B747 CAT_B 44 506.053 384.3018 5762.869 H
SOO7950 B777 CAT_B 44 554.179 423.85248 5998.069 H
CPA3239 B748 CAT_B 1 1476.226 422.53416 6178.257 H
UAE9832 B777 CAT_B 44 418.701 393.5304 6583.348 H
HKC569 A330 CAT_B 14 2112.824 387.81756 7182.716 H
EVA6089 B777 CAT_B 14 2044.647 399.68244 8753.246 H
ANA821 B767 CAT_C 14 2050.337 433.30068 8911.615 H
CPA172 A330 CAT_B 23 1973.844 449.34084 9246.32 H
QFA117 A330 CAT_B 23 2121.004 465.8202 9405.021 H
ETD947 B777 CAT_B 44 461.171 383.64264 9681.86 H
HDA103 A330 CAT_B 33 1346.61 517.67568 9739.404 H
CPA138 B777 CAT_B 23 1946.783 469.55556 10294.865 H
HKE623 A320 CAT_D 14 2056.234 391.77252 10460.536 M
FDX5124 MD11 CAT_C 44 501.65 393.9696 10862.988 H
CPA714 B777 CAT_B 25 2282.179 485.37612 11147.89 H
CPA829 B777 CAT_B 44 545.084 412.2072 11228.52 H
HKE764 A320 CAT_D 33 1245.431 507.78792 11651.148 M
CAL5821 B747 CAT_B 14 2129.602 404.51652 11835.608 H
CKS247 B747 CAT_B 44 545.449 391.33296 12560.888 H
CPA811 B777 CAT_B 44 539.222 378.369 12638.269 H
CPA053 B747 CAT_B 44 769.775 398.14452 12808.123 H
UAE9882 B777 CAT_B 44 822.585 370.45908 12904.199 H
CPA798 A359 CAT_B 25 1988.744 502.9542 13451.257 H
HKC320 A330 CAT_B 25 2209.15 481.86036 13534.668 H
HDA251 A320 CAT_D 33 1222.725 510.42492 13580.085 M
BOX514 B777 CAT_B 44 504.66 417.70008 13624.387 H
GIA876 B737 CAT_D 25 2227.958 487.5732 13720.77 M
CPA845 B777 CAT_B 44 512.166 396.38664 13764.052 H
CPA746 A330 CAT_B 44 657.804 428.0274 14333.567 H
CPA676 A359 CAT_B 44 606.431 394.84872 14492.967 H
HDA358 A320 CAT_D 25 2279.051 476.14752 14827.474 M
CPA042 B747 CAT_B 33 1166.542 543.16404 15027.217 H
CKK263 B777 CAT_B 2 1911.071 434.83896 15145.848 H
CPA883 B777 CAT_B 14 1403.553 410.88852 15156.123 H
CPA270 A359 CAT_B 44 410.378 431.5428 16379.946 H
CRK708 A330 CAT_B 23 2152.216 434.3994 16735.834 H
SIA7980 B747 CAT_B 25 2403.348 494.82432 16997.499 H
CPA292 A359 CAT_B 44 305.304 405.17568 17408.864 H
CPA338 A359 CAT_B 44 475.892 427.36824 17684.493 H
CPA698 B777 CAT_B 33 1451.739 540.5274 17741.635 H
CPA881 B777 CAT_B 14 2094.934 414.18468 17883.911 H
CPA260 B777 CAT_B 44 450.703 418.35924 17930.559 H
CPA234 B777 CAT_B 44 522.383 406.2744 18015.642 H
CPA178 B777 CAT_B 23 2280.466 472.63176 18060.439 H
CPA288 B777 CAT_B 44 583.95 389.57508 18159.962 H
CPA696 B777 CAT_B 44 654.484 394.40916 18332.011 H
CPA382 A359 CAT_B 44 847.866 401.44032 18458.385 H
CPA252 B777 CAT_B 44 819.536 377.70984 18691.925 H
AAL193 B777 CAT_B 14 2366.944 406.2744 18900.463 H
CKS252 B747 CAT_B 14 2643.898 406.2744 18919.035 H
CPA748 B777 CAT_B 33 1513.333 541.18656 18947.742 H
CPA873 B777 CAT_B 14 2549.707 410.44932 19108.042 H
AIC310 B788 CAT_B 44 656.591 440.99136 19338.076 H
UAE386 B777 CAT_B 44 562.014 402.75864 19565.416 H
CPA216 A359 CAT_B 44 605.323 385.40052 19618.308 H
HDA997 A320 CAT_D 44 874.57 391.55256 19767.388 M
CPA372 A359 CAT_B 44 941.254 373.75488 19885.47 H
CRK780 A359 CAT_B 33 1889.698 545.36148 19899.919 H
CPA354 A359 CAT_B 44 948.101 377.27064 19991.257 H
CRK028 A330 CAT_B 23 2167.501 446.26464 20250.856 H
IGO1773 A320 CAT_D 44 766.374 375.73236 20332.832 M
CPA055 B748 CAT_B 2 2403.807 439.89264 20438.556 H
CPA156 A359 CAT_B 17 2165.702 444.06756 20464.348 H
FIN101 A359 CAT_B 44 1112.166 383.20308 20853.531 H
CPA976 B777 CAT_B 17 2257.028 444.72672 21063.407 H
CPA851 A359 CAT_B 14 2087.549 407.81232 21102.244 H
CPA170 A359 CAT_B 23 2232.513 466.25976 21231.953 H
CPA463 B777 CAT_B 14 2245.3 402.31944 21336.694 H
SAY9835 B747 CAT_B 44 1012.572 401.00112 21975.953 H
HDA169 A320 CAT_D 33 1456.371 511.74324 22255.44 M
HDA111 A330 CAT_B 33 1565.812 515.2586399999999 22438.888 H
ETD937 B777 CAT_B 44 721.381 397.92492 23142.061 H
CPA093 B748 CAT_B 14 2049.552 424.07244 23232.857 H
CRK539 A320 CAT_D 30 2125.057 475.70796 23546.21 M
CRK762 A330 CAT_B 33 1304.41 516.13776 23756.813 H
CEB150 A320 CAT_D 17 2178.146 417.70008 23936.065 M
CPA610 A330 CAT_B 33 1306.098 514.37988 24130.347 H
CPA865 B777 CAT_B 14 2079.014 410.44932 24696.112 H
CPA602 A330 CAT_B 33 1255.261 530.20008 24796.419 H
CPA465 A330 CAT_B 14 2108.375 386.93844 25487.49 H
CEB240 A320 CAT_D 17 2015.607 402.09948 25784.306 M
EVA891 A320 CAT_D 14 2171.059 385.83972 25841.537 M
CAL933 B737 CAT_D 14 2220.755 382.76352 25985.685 M
HDA459 A330 CAT_B 14 2275.759 385.83972 26136.681 H
CEB272 A330 CAT_B 17 2189.888 430.00488 26141.791 H
HDA617 A330 CAT_B 1 1499.639 409.3506 26388.226 H
SEJ031 B737 CAT_D 44 366.416 384.96096 26549.749 M
MDA1819 E190 CAT_E 14 2174.803 373.53528 26605.604 M
CPA694 A330 CAT_B 33 1450.927 513.50112 26645.133 H
AXM237 A320 CAT_D 23 2160.537 437.4756 26910.271 M
CPA899 A359 CAT_B 44 360.716 384.74136 27105.421 H
