callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
EVA6537 B747 CAT_B 44 68.869 159.0822 0.0 H
HKC318 A330 CAT_B 44 933.636 312.2316 0.04 H
AHK842 A306 CAT_C 44 277.858 232.47072 0.216 H
HKE627 A320 CAT_D 14 2013.363 417.04092 0.6 M
NCA203 B748 CAT_B 1 1020.284 304.54092 0.633 H
KAL313 B777 CAT_B 1 1258.405 399.24324 0.946 H
CPA2533 A330 CAT_B 14 2314.467 388.91592 64.572 H
AHK783 A330 CAT_B 44 294.047 210.05856 96.91 H
AHK562 A330 CAT_B 44 18.93 255.10248 187.282 H
CEB242 A320 CAT_D 1 718.699 326.95308 432.945 M
AHK326 A306 CAT_C 44 338.792 240.6006 441.729 H
CRK613 A320 CAT_D 14 2216.342 423.41292 567.779 M
ABL7253 A320 CAT_D 44 358.612 250.2684 618.229 M
CPA035 B747 CAT_B 44 350.905 238.84272 824.236 H
TWB9117 B737 CAT_D 14 2251.78 394.18956 1336.039 M
AHK769 A306 CAT_C 44 787.821 382.98348 1477.294 H
CPA3387 A330 CAT_B 1 1592.51 370.45908 1509.749 H
CPA2503 A330 CAT_B 14 2146.75 401.87988 1892.995 H
CPA044 B747 CAT_B 44 530.894 393.09084 2008.172 H
CAL5835 B747 CAT_B 14 2124.596 418.13964 2415.373 H
CRK313 A330 CAT_B 44 825.19 360.35172 2580.655 H
CAL2909 B737 CAT_D 14 2283.056 391.99212 4017.476 M
HDA975 A320 CAT_D 44 251.981 409.3506 5428.135 M
CLU345 B748 CAT_B 44 654.895 504.27252 5489.103 H
BOX520 B777 CAT_B 44 317.58 438.79392 5668.411 H
CKS247 B747 CAT_B 44 384.214 416.60172 6235.634 H
ABW449 B748 CAT_B 25 2057.531 490.20984 6483.531 H
HDA483 A330 CAT_B 14 2083.961 417.92004 6666.632 H
PAL382 A320 CAT_D 23 5565.033 435.49812 7042.871 M
CAL2903 B737 CAT_D 14 2193.044 388.69632 7327.966 M
BTN788 A320 CAT_D 33 1340.888 480.54204 7597.058 M
AZG628 B748 CAT_B 44 159.377 308.71584 7679.054 H
HKE764 A320 CAT_D 33 1246.237 495.04392 8693.317 M
CPA172 A330 CAT_B 23 1973.445 446.48424 8712.936 H
CKK263 B777 CAT_B 2 1957.084 457.25112 10022.649 H
CAL2601 B737 CAT_D 14 2055.852 399.9024 10131.845 M
ANA821 B767 CAT_C 14 2122.351 387.81756 10200.357 H
THY6488 B747 CAT_B 44 578.418 411.32808 10315.59 H
SOO7970 B777 CAT_B 14 2083.853 432.86148 11001.828 H
CPA138 B777 CAT_B 23 2147.348 471.753 11318.558 H
HKE623 A320 CAT_D 14 2204.489 417.26088 11390.981 M
HKC9004 A330 CAT_B 1 1804.826 404.95608 12062.923 H
CPA883 B777 CAT_B 14 2303.717 436.81644 12174.918 H
QFA117 A330 CAT_B 23 2301.097 441.65034 12405.448 H
CSN3300 A320 CAT_D 44 463.18 370.23912 12503.35 M
ETD9843 B777 CAT_B 44 675.572 412.4268 12533.491 H
CSN312 B777 CAT_B 44 704.495 370.01952 12632.802 H
HDA251 A320 CAT_D 33 1492.41 507.56832 12645.881 M
CPA829 B777 CAT_B 1 1356.044 434.83896 12900.858 H
CPA899 A359 CAT_B 44 499.528 396.8262 13257.713 H
CPA3295 B748 CAT_B 14 1919.481 439.23348 13398.486 H
CPA851 A359 CAT_B 14 2047.009 431.5428 13441.474 H
CPA746 B777 CAT_B 44 522.303 417.48048 13468.315 H
EVA1355 A330 CAT_B 14 2060.533 422.53416 13678.348 H
CPA811 B777 CAT_B 44 647.127 394.62876 13713.031 H
CPA845 B777 CAT_B 44 789.427 430.88364 13787.453 H
CPA873 B777 CAT_B 14 2052.311 436.81644 13865.53 H
GIA876 B737 CAT_D 25 2363.224 451.53792 14081.199 M
CPA798 A330 CAT_B 25 2288.03 453.73536 14294.164 H
CPA714 B777 CAT_B 25 2201.538 485.37612 14511.864 H
CPA093 B748 CAT_B 14 2115.854 447.58296 15041.945 H
CRK708 A330 CAT_B 23 2145.539 443.40804 15458.731 H
HDA358 A320 CAT_D 25 2116.544 467.35847999999993 15612.423 M
CPA3263 B748 CAT_B 44 392.482 409.131 15762.026 H
CPA881 B777 CAT_B 14 2103.973 438.57432 16313.082 H
CPA676 A359 CAT_B 44 509.529 486.91404000000006 16801.74 H
AAL193 B777 CAT_B 14 2047.608 457.69032 16803.401 H
UAE386 B777 CAT_B 44 565.515 351.34272 16882.937 H
