callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
RMY3507 B762 CAT_C 44 0.881 131.61636 0.0 H
SIA7872 B747 CAT_B 44 133.988 179.07732 0.062 H
AHK842 A306 CAT_C 44 274.417 201.26952 0.158 H
HKE703 A320 CAT_D 33 700.888 394.62876 0.802 M
AHK456 A306 CAT_C 44 345.939 250.2684 110.268 H
CRK613 A330 CAT_B 14 1989.544 462.96396 307.303 H
KMI525 B737 CAT_D 44 520.256 376.83108 390.505 M
HKE627 A320 CAT_D 44 359.599 242.57808000000003 401.865 M
AHK326 A330 CAT_B 44 336.413 244.99512 589.223 H
BOX506 B777 CAT_B 44 478.948 393.5304 1258.684 H
PAC947 B748 CAT_B 14 2087.14 475.92756 2588.397 H
ABW139 B748 CAT_B 14 2038.63 462.08484 3539.27 H
UAE9820 B777 CAT_B 23 2056.898 475.48836 4539.072 H
CPA095 B748 CAT_B 14 1897.801 474.8292 6951.846 H
CKK263 B777 CAT_B 2 2012.477 472.41216 8487.325 H
HKE764 A320 CAT_D 33 1289.832 468.8964 8605.053 M
ANA821 B767 CAT_C 14 1908.916 454.61412 9268.81 H
HKE623 A320 CAT_D 14 1909.223 442.52928 9551.687 M
CPA829 B777 CAT_B 44 510.088 385.40052 11176.802 H
CPA3263 B747 CAT_B 44 544.476 426.04992 11318.901 H
QFA117 A330 CAT_B 23 1973.665 457.03116000000006 11397.129 H
HKC9004 A330 CAT_B 1 1384.362 448.24212 11451.044 H
CPA138 B777 CAT_B 23 2100.124 465.16104 11458.513 H
CPA899 A359 CAT_B 44 391.069 419.23836 12064.045 H
CPA845 B777 CAT_B 44 525.93 374.63364 12457.24 H
CPA714 B777 CAT_B 25 2100.359 495.26352 12667.2 H
GIA876 B737 CAT_D 25 2356.896 467.57808 13503.961 M
CPA857 A359 CAT_B 14 1904.817 472.41216 13536.372 H
CPA883 B777 CAT_B 14 1971.404 469.33596 13591.54 H
HDA251 A320 CAT_D 33 1311.937 468.23724 13776.312 M
HDA358 A320 CAT_D 25 2336.775 464.72184 13782.393 M
CPA676 A359 CAT_B 44 349.64 419.23836 14168.569 H
HKC569 A330 CAT_B 14 2090.538 456.372 14507.427 H
CPA746 B777 CAT_B 44 686.873 393.75 14997.785 H
CPA873 B777 CAT_B 14 1962.546 468.01764 15115.562 H
ETD9843 B777 CAT_B 44 691.46 387.378 15575.313 H
CPA270 A359 CAT_B 44 627.639 395.50788 15780.334 H
CPA851 A359 CAT_B 14 1944.122 479.00376 15811.224 H
CRK708 A330 CAT_B 23 2209.836 453.95496 16652.741 H
CPA698 B777 CAT_B 33 1402.18 499.21884 16655.598 H
CPA093 B748 CAT_B 14 1973.173 473.29092 16767.323 H
CPA292 A359 CAT_B 44 371.607 402.31944 17501.495 H
CPA881 B777 CAT_B 14 2102.518 467.35847999999993 17596.861 H
